City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,deir ez-zor,35.3359,40.1408,21.8,39,4,2.93,SY,1712858306
157,suva,-18.1416,178.4415,24.71,94,40,1.54,FJ,1712858081
158,badger,64.8,-147.5333,2.27,70,100,3.09,US,1712858306
159,belmonte,-15.8631,-38.8828,28.79,71,27,3.59,BR,1712858307
160,qaqortoq,60.7167,-46.0333,-2.73,75,92,2.02,GL,1712858307
161,ippy,6.2679,21.2247,30.8,29,12,1.61,CF,1712858138
162,smithers,54.7804,-127.1743,3.18,100,100,1.03,CA,1712858307
163,margaret river,-33.95,115.0667,14.4,72,5,5.88,AU,1712858307
164,usinsk,65.9939,57.5281,-0.52,98,100,13.86,RU,1712858307
165,sao miguel do araguaia,-13.275,-50.1628,31.87,57,95,2.13,BR,1712858308
166,luanda,-8.8368,13.2343,28.0,81,40,5.14,AO,1712858119
167,mili,6.0815,171.735,26.96,87,100,8.04,MH,1712858308
168,kavaratti,10.5669,72.642,29.29,71,0,3.6,IN,1712858308
169,lebu,-37.6167,-73.65,15.05,59,0,2.97,CL,1712858168
170,lethem,3.3803,-59.7968,36.94,33,93,5.94,GY,1712858308
171,arkhangel'sk,64.5401,40.5433,6.06,61,75,10.0,RU,1712858308
172,chegdomyn,51.1167,133.0167,-3.74,95,2,1.05,RU,1712858308
173,susuman,62.7833,148.1667,-20.01,100,99,0.45,RU,1712858309
174,tsagan aman,47.5639,46.7218,19.64,51,3,3.94,RU,1712858309
175,sabang,5.8933,95.3214,29.64,71,54,6.86,ID,1712858309
176,vorkuta,67.5,64.0,-8.96,89,100,11.47,RU,1712858309
177,el porvenir,13.7617,-87.3458,33.63,20,41,2.28,HN,1712858309
178,pizarro,4.9533,-77.366,28.88,73,71,2.91,CO,1712858309
179,reyes,-14.3167,-67.3833,27.98,94,75,2.06,BO,1712858309
180,mil'kovo,55.6078,37.7956,13.08,54,38,3.52,RU,1712858310
181,aginskoye,51.1,114.53,5.12,70,39,5.7,RU,1712858310
182,kerouane,9.2667,-9.0167,25.71,69,99,2.76,GN,1712858310
183,onguday,50.75,86.15,1.37,87,99,1.22,RU,1712858310
184,sisimiut,66.9395,-53.6735,-3.66,78,100,1.37,GL,1712858310
185,manta,-0.95,-80.7333,31.88,62,0,3.6,EC,1712858253
186,isafjordur,66.0755,-23.124,2.02,69,100,7.2,IS,1712858310
187,tucumcari,35.1717,-103.725,14.41,43,0,3.6,US,1712858056
188,yardimli,38.9206,48.2372,6.18,90,100,2.98,AZ,1712858311
189,el granada,37.5027,-122.4694,25.46,71,20,2.24,US,1712858311
190,puerto san jose,13.9256,-90.8244,34.03,49,20,3.09,GT,1712858311
191,brindisi,40.5833,17.6667,19.33,75,100,6.88,IT,1712858311
192,sao felix do xingu,-6.6447,-51.995,29.06,85,44,0.88,BR,1712858311
193,tevriz,57.509,72.4042,-5.05,84,60,2.59,RU,1712858311
194,pontianak,-0.0333,109.3333,24.99,100,100,1.54,ID,1712858312
195,kavieng,-2.5744,150.7967,26.76,81,100,1.6,PG,1712858312
196,zastron,-30.3023,27.084,8.16,46,0,3.52,ZA,1712858312
197,bubaque,11.2833,-15.8333,24.4,71,0,9.02,GW,1712858312
198,haiku-pauwela,20.9219,-156.3051,23.61,80,20,5.81,US,1712858312
199,kill devil hills,36.0307,-75.676,21.0,83,75,11.83,US,1712858156
200,zhezqazghan,47.7833,67.7667,4.75,54,22,6.8,KZ,1712858312
201,kerikeri,-35.2268,173.9474,19.39,95,79,1.41,NZ,1712858313
202,laojunmiao,39.8333,97.7333,9.64,25,9,0.87,CN,1712858313
203,bamboo flat,11.7,92.7167,29.05,84,77,1.03,IN,1712858313
204,kununurra,-15.7667,128.7333,17.99,88,6,2.06,AU,1712858313
205,hilo,19.7297,-155.09,22.01,99,100,2.06,US,1712858174
206,ola,59.5833,151.2833,-7.7,90,36,2.22,RU,1712858313
207,laela,-8.5667,32.05,17.84,92,59,0.49,TZ,1712858313
208,bochum,51.4833,7.2167,15.62,78,100,0.45,DE,1712858314
209,castillos,-34.1667,-53.8333,17.82,55,100,3.42,UY,1712858314
210,baruun-urt,46.6806,113.2792,8.39,49,79,2.45,MN,1712858314
211,ribeira grande,38.5167,-28.7,17.22,88,40,4.02,PT,1712858314
212,ouesso,1.6136,16.0517,24.88,81,90,0.65,CG,1712858314
213,novaya igirma,57.1334,103.9112,-4.84,96,99,0.93,RU,1712858314
214,mainaguri,26.5667,88.8167,25.29,32,64,3.24,IN,1712858314
215,port saint john's,-31.6229,29.5448,17.24,63,10,7.34,ZA,1712858315
216,atafu village,-8.5421,-172.5159,29.2,74,51,2.2,TK,1712858315
217,lyubymivka,46.8106,33.5686,16.53,60,0,3.53,UA,1712858315
218,tura,25.5198,90.2201,25.39,32,100,1.17,IN,1712858315
219,ta`u,-14.2336,-169.5144,28.4,81,17,4.18,AS,1712858315
220,keetmanshoop,-26.5833,18.1333,25.51,23,0,3.6,NA,1712858315
221,dyat'kovo,53.5978,34.3382,10.2,62,77,2.09,RU,1712858315
222,kapa'a,22.0752,-159.319,25.99,91,75,1.54,US,1712858316
223,djambala,-2.5447,14.7533,25.87,66,97,1.23,CG,1712858316
224,saint-philippe,-21.3585,55.7679,26.77,86,80,2.05,RE,1712858316
225,mogadishu,2.0371,45.3438,29.5,75,60,6.68,SO,1712858316
226,kafanchan,9.5833,8.3,31.41,11,35,1.91,NG,1712858316
227,krasnovishersk,60.4078,57.082,6.14,96,100,4.23,RU,1712858316
228,sinop,41.7711,34.8709,10.56,95,85,1.15,TR,1712858316
229,zheleznodorozhnyy,55.7503,38.0042,13.1,52,35,3.13,RU,1712858317
230,sandwip,22.4678,91.4561,28.02,67,97,0.45,BD,1712858317
231,kumeny,58.1089,49.9161,8.08,74,77,6.13,RU,1712858317
232,roxboro,36.3937,-78.9828,21.59,87,100,4.63,US,1712858317
233,betulia,6.1128,-75.9838,27.43,40,39,1.84,CO,1712858317
234,vernon,50.2581,-119.2691,11.45,51,100,2.06,CA,1712857785
235,olinda,-8.0089,-34.8553,30.85,74,20,5.14,BR,1712858317
236,tucuma,-0.1833,-50.05,27.39,87,96,2.27,BR,1712858318
237,labrador city,52.9463,-66.9114,3.95,60,100,6.17,CA,1712858318
238,pampa del indio,-26.0647,-59.919,17.74,97,100,3.49,AR,1712858318
239,tamiahua,21.2667,-97.45,28.63,41,1,5.95,MX,1712858318
240,floriano,-6.7669,-43.0225,32.05,58,69,2.02,BR,1712858319
241,murun-kuren,49.6342,100.1625,3.61,61,77,4.07,MN,1712858319
242,asan,36.7836,127.0042,10.91,65,2,0.8,KR,1712858319
243,porto novo,6.4965,2.6036,30.9,74,96,4.42,BJ,1712858319
244,at taj,24.2049,23.2857,23.18,16,50,4.09,LY,1712858319
245,gobernador virasora,-28.05,-56.0333,20.29,99,100,1.79,AR,1712858319
246,nemuro,43.3236,145.575,4.06,96,100,7.17,JP,1712858319
247,mount isa,-20.7333,139.5,13.87,54,0,2.57,AU,1712858320
248,carutapera,-1.195,-46.02,29.19,80,71,2.52,BR,1712858320
249,suntar,62.1444,117.6319,-16.9,98,98,1.99,RU,1712858320
250,ishikawa,26.4233,127.8214,20.98,93,0,1.54,JP,1712858320
251,corner brook,48.9667,-57.9484,10.09,43,1,3.48,CA,1712858272
252,khanty-mansiysk,61.0042,69.0019,-4.94,54,0,3.0,RU,1712858320
253,santa ana de yacuma,-13.75,-65.4333,32.97,62,40,6.17,BO,1712858320
254,eyl,7.9803,49.8164,28.44,80,16,4.69,SO,1712858321
